[2016-05-17 10:29:29]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-23 20:22:32]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:22:48]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:23:03]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:32:33]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:32:34]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:47:58]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:48:01]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:48:03]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:48:05]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:49:01]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:49:03]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 21:17:37]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 21:17:40]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 21:17:42]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 21:17:46]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 21:17:48]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 21:18:13]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 21:25:51]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 21:26:14]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 21:26:21]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 21:26:32]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 13:07:16]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 13:07:42]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 13:27:04]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-24 13:55:27]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-24 15:53:18]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 15:53:25]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 16:50:06]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 16:50:13]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 16:50:20]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 16:50:22]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 16:50:24]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 16:50:28]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 16:50:41]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 16:50:43]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 16:50:45]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 16:50:46]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 20:36:49]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 20:36:50]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-24 22:25:48]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-24 22:25:51]浏览[queue_action.php]，备注内容为：【开放组队成功】
